Block Height,Tx Hash,Event Attributes (JSON)
17598232,F0B9B92CBED28424467E8B396224EE34D42A127F6EE08CC98D229B638E73753E,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1d0jq9l5narcgy46v5agnv8hqmn5m8kj3lkh93l"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""4346"", ""msg_index"": ""4""}"
17598232,F0B9B92CBED28424467E8B396224EE34D42A127F6EE08CC98D229B638E73753E,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1d0jq9l5narcgy46v5agnv8hqmn5m8kj3lkh93l"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""4801"", ""msg_index"": ""5""}"
17598232,F0B9B92CBED28424467E8B396224EE34D42A127F6EE08CC98D229B638E73753E,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1d0jq9l5narcgy46v5agnv8hqmn5m8kj3lkh93l"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""1117"", ""msg_index"": ""6""}"
17598232,F0B9B92CBED28424467E8B396224EE34D42A127F6EE08CC98D229B638E73753E,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1d0jq9l5narcgy46v5agnv8hqmn5m8kj3lkh93l"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""6785"", ""msg_index"": ""7""}"
17598232,F0B9B92CBED28424467E8B396224EE34D42A127F6EE08CC98D229B638E73753E,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1d0jq9l5narcgy46v5agnv8hqmn5m8kj3lkh93l"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""6637"", ""msg_index"": ""8""}"
17598232,F0B9B92CBED28424467E8B396224EE34D42A127F6EE08CC98D229B638E73753E,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1d0jq9l5narcgy46v5agnv8hqmn5m8kj3lkh93l"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""6098"", ""msg_index"": ""9""}"
17598211,4F531C70350410ED8E4B072204CC7FA11ECD1D82E88E4CB73340055D6BBE1107,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""4781"", ""msg_index"": ""0""}"
17598211,4F531C70350410ED8E4B072204CC7FA11ECD1D82E88E4CB73340055D6BBE1107,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""3826"", ""msg_index"": ""1""}"
17598211,4F531C70350410ED8E4B072204CC7FA11ECD1D82E88E4CB73340055D6BBE1107,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""7093"", ""msg_index"": ""2""}"
17598211,4F531C70350410ED8E4B072204CC7FA11ECD1D82E88E4CB73340055D6BBE1107,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""7182"", ""msg_index"": ""3""}"
